what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1426817480559
error,log,,,"Unhandled event loop exception",1426817480559
error,log,,,"Unhandled event loop exception",1426817480562
error,log,,,"Unhandled event loop exception",1426817480563
error,log,,,"Unhandled event loop exception",1426817480564
error,log,,,"Unhandled event loop exception",1426817480565
error,log,,,"Unhandled event loop exception",1426817480565
error,log,,,"Unhandled event loop exception",1426817480566
error,log,,,"Unhandled event loop exception",1426817480567
error,log,,,"Unhandled event loop exception",1426817480567
error,log,,,"Unhandled event loop exception",1426817480568
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426817482073
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426817482353
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/Users/Jonathan/Desktop/ECE385/ece385_lab8_jw/lab8_usb/lab8_usb/software/usb_kb/usb_kb.elf] return code: 4, 'other error'",1426817491026
error,log,,,"Downloading ELF Process failed",1426817491027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817491056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817494246
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1426817499458
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1426817499491
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1426817500424
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1426817501280
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426817501901
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426817507919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817510150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817513207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817515617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817516396
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1426817516406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817516730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817517253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817517895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817520441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817525316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817529656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817531276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817536362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817538264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817539885
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1426817539902
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426817541460
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426817541721
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/Users/Jonathan/Desktop/ECE385/ece385_lab8_jw/lab8_usb/lab8_usb/software/usb_kb/usb_kb.elf] return code: 4, 'other error'",1426817550478
error,log,,,"Downloading ELF Process failed",1426817550480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817550518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817554496
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426817556191
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426817558243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817564017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817580525
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426817581383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817584561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817587683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817591314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817593055
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1426817593065
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426817593376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817593487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817594254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817594594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817597146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817601990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817606168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817609404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426817639694
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1426817639708
error,log,,,"Unhandled event loop exception",1426817639709
error,log,,,"Unhandled event loop exception",1426817639709
error,log,,,"Unhandled event loop exception",1426817639710
error,log,,,"Unhandled event loop exception",1426817639711
error,log,,,"Unhandled event loop exception",1426817639711
error,log,,,"Unhandled event loop exception",1426817639712
error,log,,,"Unhandled event loop exception",1426817639712
error,log,,,"Unhandled event loop exception",1426817639713
error,log,,,"Unhandled event loop exception",1426817639713
error,log,,,"Unhandled event loop exception",1426817639714
error,log,,,"Unhandled event loop exception",1426817639714
error,log,,,"Unhandled event loop exception",1426817639715
error,log,,,"Unhandled event loop exception",1426817639716
error,log,,,"Unhandled event loop exception",1426817639716
error,log,,,"Unhandled event loop exception",1426817639717
error,log,,,"Unhandled event loop exception",1426817639717
error,log,,,"Unhandled event loop exception",1426817639718
error,log,,,"Unhandled event loop exception",1426817639719
error,log,,,"Unhandled event loop exception",1426817639719
error,log,,,"Unhandled event loop exception",1426817639720
error,log,,,"Unhandled event loop exception",1426817639720
error,log,,,"Unhandled event loop exception",1426817639721
error,log,,,"Unhandled event loop exception",1426817639723
error,log,,,"Unhandled event loop exception",1426817639723
error,log,,,"Unhandled event loop exception",1426817639724
error,log,,,"Unhandled event loop exception",1426817639725
error,log,,,"Unhandled event loop exception",1426817639725
error,log,,,"Unhandled event loop exception",1426817639726
error,log,,,"Unhandled event loop exception",1426817639727
error,log,,,"Unhandled event loop exception",1426817639727
error,log,,,"Unhandled event loop exception",1426817639728
error,log,,,"Unhandled event loop exception",1426817639728
error,log,,,"Unhandled event loop exception",1426817639729
error,log,,,"Unhandled event loop exception",1426817639730
error,log,,,"Unhandled event loop exception",1426817639730
